movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
True Grit,252084251,171050328,81033923,28946093,35000000
After Earth,251499665,60522097,190977568,8531597,130000000
You've Got Mail,250710047,115731542,134978505,,65000000
Annabelle,250673813,84273813,166400000,5896893,6500000
Enemy of the State,250644445,111544445,139100000,,85000000
Hercules,250634690,99046791,151587899,,70000000
Total Recall,250585890,108580729,142005161,,65000000
Brother Bear,250397798,85336277,165061521,,00000
Space Jam,250180069,90443603,159736466,,80000000
Eragon,249488115,75030163,174457952,87829705,100000000
The Blair Witch Project,248300000,140539099,107760901,,60000
The Ring,248218486,129094024,119124462,,48000000
Unbreakable,248099143,94999143,153100000,,73243106
Love Actually,247967903,59472278,188495625,,45000000
Marley & Me,247812011,143153751,104658260,72882075,60000000
Bienvenue chez les Ch'tis,247474497,1477650,245996847,,16000000
Grown Ups 2,247023808,133668525,113355283,19238810,80000000
Dumb & Dumber,246365376,127140750,119224626,,16000000
Babe,246075470,63634380,182441090,,30000000
Lilo & Stitch,245800000,145771527,100028473,,80000000
8 Mile,245769202,116724075,129045127,,41000000
Rango,245504574,123257581,122246993,26938565,135000000
Rush Hour,245266822,141153686,104113136,,35000000
Hulk,245229234,132177234,113052000,,137000000
Back to the Future Part III,243700000,87666629,156033371,,40000000
Pixels,243566890,78747585,164819305,2525102,90000000
Hercules,243388614,72688614,170700000,9050965,100000000
